n,r,P_conn,trials
100,0.5,0.0,50
100,0.6,0.0,50
100,0.7,0.0,50
100,0.8,0.0,50
100,0.9,0.0,50
100,1.0,0.0,50
100,1.1,0.0,50
100,1.2,0.0,50
100,1.3,0.02,50
100,1.4,0.1,50
100,1.5,0.36,50
100,1.6,0.48,50
100,1.7,0.76,50
100,1.8,0.74,50
100,1.9,0.88,50
100,2.0,0.86,50
100,2.1,0.94,50
100,2.2,1.0,50
100,2.3,0.98,50
100,2.4,1.0,50
100,2.5,1.0,50
100,2.6,1.0,50
100,2.7,1.0,50
100,2.8,1.0,50
250,0.5,0.0,50
250,0.6,0.0,50
250,0.7,0.0,50
250,0.8,0.0,50
250,0.9,0.0,50
250,1.0,0.0,50
250,1.1,0.0,50
250,1.2,0.0,50
250,1.3,0.0,50
250,1.4,0.08,50
250,1.5,0.16,50
250,1.6,0.48,50
250,1.7,0.64,50
250,1.8,0.78,50
250,1.9,0.72,50
250,2.0,0.9,50
250,2.1,0.92,50
250,2.2,0.98,50
250,2.3,1.0,50
250,2.4,0.96,50
250,2.5,1.0,50
250,2.6,1.0,50
250,2.7,1.0,50
250,2.8,1.0,50
500,0.5,0.0,50
500,0.6,0.0,50
500,0.7,0.0,50
500,0.8,0.0,50
500,0.9,0.0,50
500,1.0,0.0,50
500,1.1,0.0,50
500,1.2,0.0,50
500,1.3,0.0,50
500,1.4,0.0,50
500,1.5,0.08,50
500,1.6,0.22,50
500,1.7,0.52,50
500,1.8,0.74,50
500,1.9,0.88,50
500,2.0,0.9,50
500,2.1,0.9,50
500,2.2,1.0,50
500,2.3,1.0,50
500,2.4,0.96,50
500,2.5,0.98,50
500,2.6,1.0,50
500,2.7,1.0,50
500,2.8,0.98,50
1000,0.5,0.0,50
1000,0.6,0.0,50
1000,0.7,0.0,50
1000,0.8,0.0,50
1000,0.9,0.0,50
1000,1.0,0.0,50
1000,1.1,0.0,50
1000,1.2,0.0,50
1000,1.3,0.0,50
1000,1.4,0.0,50
1000,1.5,0.02,50
1000,1.6,0.14,50
1000,1.7,0.38,50
1000,1.8,0.6,50
1000,1.9,0.8,50
1000,2.0,0.84,50
1000,2.1,0.88,50
1000,2.2,0.96,50
1000,2.3,0.96,50
1000,2.4,1.0,50
1000,2.5,0.98,50
1000,2.6,1.0,50
1000,2.7,1.0,50
1000,2.8,1.0,50
